fetched_at;url;final_url;http_status;bytes;robots;arquivo;erro
2026-07-29T02:37:05+00:00;https://www.uberlandia.mg.gov.br/;https://www.uberlandia.mg.gov.br/;403;386;sem robots (robots http 403);raw/www.uberlandia.mg.gov.br/pref_home_f0d7da67.html;
2026-07-29T02:37:05+00:00;https://www.uberlandia.mg.gov.br/prefeitura/secretarias/planejamento-urbano/;https://www.uberlandia.mg.gov.br/prefeitura/secretarias/planejamento-urbano/;403;445;sem robots (robots http 403);raw/www.uberlandia.mg.gov.br/pref_planejamento_0c08dc06.html;
2026-07-29T02:37:08+00:00;https://www.uberlandia.mg.gov.br/prefeitura/secretarias/planejamento-urbano/mapas-e-bairros/;https://www.uberlandia.mg.gov.br/prefeitura/secretarias/planejamento-urbano/mapas-e-bairros/;403;473;sem robots (robots http 403);raw/www.uberlandia.mg.gov.br/pref_mapas_bairros_840e59bf.html;
2026-07-29T02:37:15+00:00;https://www.ivannegocios.com.br/comprar/Uberlandia/Area;https://www.ivannegocios.com.br/comprar/Uberlandia/Area;200;108077;ok (robots 200);raw/www.ivannegocios.com.br/ivan_listagem_area_2378008b.html;
2026-07-29T02:37:15+00:00;https://www.ivannegocios.com.br/comprar/Uberlandia/Terreno;https://www.ivannegocios.com.br/comprar/Uberlandia/Terreno;200;269501;ok (robots 200);raw/www.ivannegocios.com.br/ivan_listagem_terreno_6b7cfc25.html;
2026-07-29T02:37:22+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area;200;294384;ok (robots 200);raw/www.deltaimoveis.com.br/delta_listagem_area_6f0b10f3.html;
2026-07-29T02:37:23+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno;200;315495;ok (robots 200);raw/www.deltaimoveis.com.br/delta_listagem_terreno_d079e80c.html;
2026-07-29T02:37:28+00:00;https://www.guinzaimoveis.com.br/area/a-venda/uberlandia-mg;https://www.guinzaimoveis.com.br/area/a-venda/uberlandia-mg;200;344625;ok (robots 200);raw/www.guinzaimoveis.com.br/guinza_listagem_area_02406b12.html;
2026-07-29T02:37:34+00:00;https://www.storteimoveis.com.br/imoveis/a-venda/area+terreno/uberlandia;;;;disallow (robots 200);;robots disallow
2026-07-29T02:37:38+00:00;https://www.nexusimob.com/imoveis/a-venda/terreno/uberlandia;;;;disallow (robots 200);;robots disallow
2026-07-29T02:37:41+00:00;https://eliteimobiliaria.com/terreno-lote/a-venda/uberlandia-mg;https://eliteimobiliaria.com/terreno-lote/a-venda/uberlandia-mg;200;325757;ok (robots 200);raw/eliteimobiliaria.com/elite_listagem_f8e09c23.html;
2026-07-29T02:37:46+00:00;https://wenderbernardesimoveis.com.br/terreno-lote/a-venda/uberlandia-mg;https://wenderbernardesimoveis.com.br/terreno-lote/a-venda/uberlandia-mg;200;386649;ok (robots 200);raw/wenderbernardesimoveis.com.br/wender_listagem_33813c4b.html;
